"user_id","datetime","weekday","place_name","transport_mode","lon_x","lat_y","geometry","traj","traj_id2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:28:47,"Tue",NA,"Bike",8.531419,47.364526,c(2682546.68410561, 1246539.13269379),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:28:57,"Tue",NA,"Bike",8.531419,47.364288,c(2682547.05258909, 1246512.674007),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:29:07,"Tue",NA,"Bike",8.531485,47.364142,c(2682552.26380919, 1246496.51247819),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:29:20,"Tue",NA,"Bike",8.531563,47.364053,c(2682558.29319271, 1246486.70032287),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:29:32,"Tue",NA,"Bike",8.531234,47.364001,c(2682533.52330109, 1246480.57335523),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:30:01,"Tue",NA,"Bike",8.530936,47.363953,c(2682511.08869984, 1246474.92377008),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:30:43,"Tue",NA,"Bike",8.530756,47.364293,c(2682496.96663132, 1246512.53264681),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:30:53,"Tue",NA,"Bike",8.530814,47.364251,c(2682501.4125218, 1246507.92444274),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:31:09,"Tue",NA,"Bike",8.530737,47.364214,c(2682495.65374423, 1246503.73016661),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:31:31,"Tue",NA,"Bike",8.530861,47.364148,c(2682505.12195247, 1246496.52324839),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:31:41,"Tue",NA,"Bike",8.530897,47.364113,c(2682507.89530199, 1246492.67011571),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:31:51,"Tue",NA,"Bike",8.530886,47.364091,c(2682507.09848371, 1246490.2127891),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:32:01,"Tue",NA,"Bike",8.530698,47.364211,c(2682492.71260391, 1246503.35565492),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:32:11,"Tue",NA,"Bike",8.530377,47.364468,c(2682468.06902938, 1246531.58919845),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:32:26,"Tue",NA,"Bike",8.530527,47.364369,c(2682479.55205821, 1246520.74092093),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:32:36,"Tue",NA,"Bike",8.530549,47.364358,c(2682481.23079379, 1246519.54116394),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:32:46,"Tue",NA,"Bike",8.530551,47.364357,c(2682481.38340614, 1246519.43209514),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:32:56,"Tue",NA,"Bike",8.530551,47.364357,c(2682481.38340614, 1246519.43209514),"COMBINE","2"
